Query,Start_time,Task_time(ms)
A,2022-05-15 21:40:19.177399,32.2
AAAA,2022-05-15 21:40:20.721408,29.5
NS,2022-05-15 21:40:27.071217,60.8
MX,2022-05-15 21:40:31.058567,87.8
MX,2022-05-15 21:40:38.002473,76.8
TXT,2022-05-15 21:40:42.294049,76.8
